wc_player_id,full_name,known_name,country,position,price,club_league,club_name,club_player_id,club_match,curated_player_id,curated_match,euro2024_goals
1572,Bernardo Mota Veiga de Carvalho e Silva,Bernardo Silva,POR,MID,7.8,Premier League,Bernardo Silva,331209,known_name,59013121-ee41-5b8e-84e9-bc6aede3e708,name+country,1
1573,Cristiano Ronaldo dos Santos Aveiro,Cristiano Ronaldo,POR,FWD,10,Saudi Pro League,Cristiano Ronaldo,fm:11876,known_name,d3c07451-e83b-55e6-a734-7ec19f9e1083,name+country,
1574,Rafael Alexandre da Conceição Leão,Rafael Leão,POR,MID,7.8,Serie A,Rafael Leao,fm:2254,known_name,ec62bd5a-1969-528e-ab74-b283d6a100b5,name+country,
1575,Fahad Younis Ahmed Mohammed Baker,Fahad Younis,QAT,GK,3.7,,,,,,,
1576,Craig Gordon,,SCO,GK,3.5,,,,,,,
1577,Aaron Hickey,,SCO,DEF,4.3,Premier League,Aaron Hickey,966869,full_name,,,
1578,Ben Gannon-Doak,,SCO,MID,4.9,,,,,,,
1579,Ross Stewart,,SCO,FWD,5.4,,,,,,,
1580,Lawrence Shankland,,SCO,FWD,5.5,,,,,,,
1581,Christian Fassnacht,,SUI,MID,6.1,,,,,a7728cfa-e14d-58b2-b0d2-095867fc01f3,name+country,
1582,Zeki Amdouni,,SUI,FWD,4.9,Premier League,Zeki Amdouni,990550,full_name,,,
1583,Cedric Itten,,SUI,FWD,5.4,,,,,,,
1584,Ersin Destanoglu,,TUR,GK,4,,,,,,,
1585,Yusuf Akçiçek,,TUR,DEF,4,,,,,,,
1586,Çaglar Söyüncü,,TUR,DEF,4.4,Super Lig,Caglar Soyuncu,fm:1044,full_name,,,
1587,Aral Simsir,,TUR,MID,4.7,,,,,,,
1588,Demir Ege Tiknaz,,TUR,MID,4.4,,,,,,,
1589,Can Uzun,,TUR,MID,5.3,,,,,,,
1590,Yusuf Sari,,TUR,MID,5,Super Lig,Veysel Sari,fm:367321,unique_last_name,,,
1591,Aaron Tshibola,,COD,MID,4.9,,,,,,,
1592,Karim Hafez Ramadan Seif El Din,Karim Hafez,EGY,DEF,3.9,,,,,,,
1593,Nabil Emad Aly El Mahdy,Nabil Emad Dunga,EGY,MID,4.3,,,,,,,
1594,Mostafa Mohamed Zaki Abdelraouf,Mostafa Zico,EGY,MID,4.2,,,,,,,
1595,Aqtay Abdallah,Aqtay Abdallah,EGY,FWD,4.3,Ligue 1,Keyliane Abdallah,1844117,unique_last_name,,,
1596,Hamza Mohamed Abdelkarim Elsayed Selim,Hamza Abdelkarim,EGY,FWD,4.3,,,,,,,
1597,Mohamed Salah Hamed Mahrous Ghaly,Mohamed Salah,EGY,MID,10,Premier League,Mohamed Salah,159665,known_name,9fccedcf-6922-511b-9199-5ccc4d4b7397,name+country,
1598,Manuel Neuer,,GER,GK,5,,,,,fae907b8-dc21-5767-8030-c0736901a3f8,name+country,
1599,Nadiem Amiri,,GER,MID,6.3,Bundesliga,Nadiem Amiri,fm:5295,full_name,,,
1600,Jamal Musiala,,GER,MID,8,Bundesliga,Jamal Musiala,fm:2288,full_name,79aec5fe-66dd-5b4e-a04b-bac66c060d9e,name+country,3
1601,Felix Nmecha,,GER,MID,5.6,Bundesliga,Felix Nmecha,fm:715,full_name,,,
1602,Aleksandar Pavlovic,,GER,MID,5.5,Bundesliga,Aleksandar Pavlovic,fm:2298,full_name,,,
1603,Jamie Leweling,,GER,MID,6.4,Bundesliga,Jamie Leweling,fm:1515,full_name,,,
1604,Maximilian Beier,,GER,FWD,6.5,Bundesliga,Maximilian Beier,fm:710,full_name,,,
1609,Maya Yoshida,,JPN,DEF,3.7,MLS,Maya Yoshida,fm:39177,full_name,f19006bd-30c2-5dc6-a6b4-3f7e48c2bf0a,name+country,
1610,Ronaldo Dejesús,,PAR,DEF,3.8,,,,,,,
1611,Mateo Gamarra,Mateo Gamarra,PAR,DEF,3.9,,,,,,,
1612,Robert Piris Da Motta,,PAR,MID,4.7,,,,,,,
1613,Óscar Romero,,PAR,MID,4.6,,,,,,,
1614,Mathías Villasanti,,PAR,MID,4.6,,,,,,,
1615,Hugo Cuenca,,PAR,MID,4.8,,,,,,,
1616,Andrés Cubas,,PAR,MID,4.7,,,,,,,
1617,Álvaro Campuzano,,PAR,MID,4.6,,,,,,,
1618,Ángel Romero,,PAR,MID,4.9,,,,,,,
1619,Rodney Redes,,PAR,MID,4.8,,,,,,,
1620,Enso González,,PAR,MID,5,Premier League,Enso González,1402232,full_name,,,
1621,Diego González,,PAR,MID,5,,,,,,,
1665,Munir El Kajoui,,MAR,GK,4,,,,,,,
1666,Ibrahim Gomis,,MAR,GK,3.5,,,,,,,
1667,Yanis Benchaouch,,MAR,GK,3.5,,,,,,,
1668,Youssef Belammari,,MAR,DEF,3.6,,,,,,,
1669,Soufiane Bouftini,,MAR,DEF,4,,,,,,,
1670,Mohamed Chibi,,MAR,DEF,3.8,,,,,,,
1671,Sofiane Boufal,,MAR,MID,6.3,,,,,96300110-2618-5e5d-99e3-dba9e6785254,name+country,
1672,Imrân Louza,,MAR,MID,5.7,Premier League,Imrân Louza,965943,full_name,,,
1673,Soufiane El-Faouzi,,MAR,MID,4.9,,,,,,,
1674,Ayyoub Bouaddi,,MAR,MID,5.5,Ligue 1,Ayyoub Bouaddi,1564180,full_name,,,
1675,Marwane Saadane,,MAR,MID,4.7,Saudi Pro League,Marwane Saadane,fm:384276,full_name,,,
1676,Ayoube Amaimouni-Echghouyab,,MAR,FWD,4.3,,,,,,,
1677,Soufiane Benjdida,,MAR,FWD,4.7,,,,,,,
1678,Othmane Maamma,,MAR,MID,4.7,Premier League,Othmane Maamma,1515917,full_name,,,
