source,match_id,date,team,team_code,player,player_id,minute,penalty,own_goal
wc_history,WC-04662c35-40c5-5478-a96f-a2381db96bd4,1958-06-08,Wales,WAL,John Charles,eeac4ad9-eb4c-5101-ad25-0ad3213ce31e,27,False,False
wc_history,WC-0469148c-70f7-59d4-b8a4-8f18f31717e7,1954-06-26,Uruguay,URY,Carlos Borges,bf12886e-066a-5247-9fb8-f67ec864f26f,5,False,False
wc_history,WC-0469148c-70f7-59d4-b8a4-8f18f31717e7,1954-06-26,England,ENG,Nat Lofthouse,65f29b1b-6616-5101-b682-32f4c7792f0d,16,False,False
wc_history,WC-0469148c-70f7-59d4-b8a4-8f18f31717e7,1954-06-26,Uruguay,URY,Obdulio Varela,85160f50-f680-5047-aad7-8b34a4cf54ff,39,False,False
wc_history,WC-0469148c-70f7-59d4-b8a4-8f18f31717e7,1954-06-26,Uruguay,URY,Juan Alberto Schiaffino,7bc88bee-0031-58c7-bbae-c51b577a2fca,46,False,False
wc_history,WC-0469148c-70f7-59d4-b8a4-8f18f31717e7,1954-06-26,England,ENG,Tom Finney,39e595ed-7939-5cec-9ebe-02ec44e6a1e6,67,False,False
wc_history,WC-0469148c-70f7-59d4-b8a4-8f18f31717e7,1954-06-26,Uruguay,URY,Javier Ambrois,cced91cb-475d-58f0-8c2d-99c4823122dc,78,False,False
wc_history,WC-0470758b-cef1-57e8-9636-05d445db4e34,2006-06-15,England,ENG,Peter Crouch,24b52d4f-98ed-532b-bc2b-f3d0bd134ebc,83,False,False
wc_history,WC-0470758b-cef1-57e8-9636-05d445db4e34,2006-06-15,England,ENG,Steven Gerrard,1c3e15e2-1ad3-521e-9797-24853b631906,90'+1,False,False
wc_history,WC-04ca0c6e-0f02-5e9a-8166-3299398923fb,1990-06-26,England,ENG,David Platt,c57771e0-f11f-500a-bcfd-2575d163b59e,119,False,False
wc_history,WC-051116ed-17f1-555a-877f-1ac6c47b3dc5,1978-06-18,West Germany,DEU,Rüdiger Abramczik,e889d245-78d9-5729-97e3-cf7880af3e01,3,False,False
wc_history,WC-051116ed-17f1-555a-877f-1ac6c47b3dc5,1978-06-18,Netherlands,NLD,Arie Haan,83113e72-71c2-5e30-82c2-6360791a29ad,27,False,False
wc_history,WC-051116ed-17f1-555a-877f-1ac6c47b3dc5,1978-06-18,West Germany,DEU,Dieter Müller,041a86f9-d555-581f-ac6a-824b62500b20,70,False,False
wc_history,WC-051116ed-17f1-555a-877f-1ac6c47b3dc5,1978-06-18,Netherlands,NLD,René van de Kerkhof,5e247992-e385-5992-9f09-4221a646bd33,82,False,False
wc_history,WC-055de8b6-6473-548b-b1e9-1af704058d6a,2002-06-03,Turkey,TUR,Hasan Şaş,c030af0a-6cbe-5bc4-a76d-ddba7a01bd69,45'+2,False,False
wc_history,WC-055de8b6-6473-548b-b1e9-1af704058d6a,2002-06-03,Brazil,BRA,Ronaldo,c6d7a149-4d7b-59f8-8b38-6acaa67f72f5,50,False,False
wc_history,WC-055de8b6-6473-548b-b1e9-1af704058d6a,2002-06-03,Brazil,BRA,Rivaldo,3bf52051-d43a-5b2b-9dbc-281ba13f5969,87,True,False
wc_history,WC-0597a127-9b28-59be-ad84-b9361e49f7f5,1990-06-19,Yugoslavia,YUG,Safet Sušić,a09b90de-3ca8-5b1a-a9bc-bb59f8f8688b,5,False,False
wc_history,WC-0597a127-9b28-59be-ad84-b9361e49f7f5,1990-06-19,Yugoslavia,YUG,Darko Pančev,f7b721f6-8811-53cd-82c0-e85b083678c2,9,False,False
wc_history,WC-0597a127-9b28-59be-ad84-b9361e49f7f5,1990-06-19,United Arab Emirates,ARE,Ali Thani Jumaa,51eb64a5-e886-5277-ba6d-a75453cae771,22,False,False
wc_history,WC-0597a127-9b28-59be-ad84-b9361e49f7f5,1990-06-19,Yugoslavia,YUG,Darko Pančev,f7b721f6-8811-53cd-82c0-e85b083678c2,46,False,False
wc_history,WC-0597a127-9b28-59be-ad84-b9361e49f7f5,1990-06-19,Yugoslavia,YUG,Robert Prosinečki,9e01eb0f-2745-5595-9caf-8a179645cb66,90'+3,False,False
wc_history,WC-059b6ae2-8f6c-5429-875d-de72062b5ff3,1934-06-03,Czechoslovakia,CSK,Oldřich Nejedlý,f35407ce-69f9-5252-9bdf-0d3e842402fe,21,False,False
