 	Playing Time 	Performance 	Per 90 Minutes	
Rk 	Player 	Nation 	Pos 	Squad 	Age 	Born 	MP 	Starts 	Min 	90s 	Gls 	Ast 	G+A 	G-PK 	PK 	PKatt 	CrdY 	CrdR 	Gls 	Ast 	G+A 	G-PK 	G+A-PK 	Matches
422	Ørjan Nyland	no NOR	GK	Sevilla	34	1990	5	5	450	5.0	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
423	Allan Nyom	cm CMR	DF	Getafe	37	1988	15	7	523	5.8	0	1	1	0	0	0	6	1	0.00	0.17	0.17	0.00	0.17	Matches
424	Jan Oblak	si SVN	GK	Atlético Madrid	32	1993	30	30	2,700	30.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
425	Job Ochieng'	ke KEN	MF	Real Sociedad	22	2003	2	1	93	1.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
Rk 	Player 	Nation 	Pos 	Squad 	Age 	Born 	MP 	Starts 	Min 	90s 	Gls 	Ast 	G+A 	G-PK 	PK 	PKatt 	CrdY 	CrdR 	Gls 	Ast 	G+A 	G-PK 	G+A-PK 	Matches
426	Álvaro Odriozola	es ESP	DF	Real Sociedad	29	1995	5	2	201	2.2	1	0	1	1	0	0	0	0	0.45	0.00	0.45	0.45	0.45	Matches
427	Javier Olaizola	es ESP	DF	Mallorca	18	2007	2	0	51	0.6	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
428	Olasagasti	es ESP	MF	Levante	24	2000	33	18	1,734	19.3	1	5	6	1	0	0	2	1	0.05	0.26	0.31	0.05	0.31	Matches
429	Dani Olmo	es ESP	MF	Barcelona	27	1998	33	24	2,067	23.0	7	8	15	7	0	0	1	0	0.30	0.35	0.65	0.30	0.65	Matches
430	Tani Oluwaseyi	ca CAN	FW	Villarreal	25	2000	27	9	901	10.0	2	2	4	2	0	0	1	0	0.20	0.20	0.40	0.20	0.40	Matches
431	Luis Orejuela		DF	Mallorca			1	1	90	1.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
432	Aimar Oroz	es ESP	MF,FW	Osasuna	23	2001	31	26	2,139	23.8	0	2	2	0	0	0	6	0	0.00	0.08	0.08	0.00	0.08	Matches
433	Ángel Ortíz	es ESP	DF	Real Betis	21	2004	13	7	584	6.5	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
434	Asier Osambela	es ESP	DF	Osasuna	21	2004	17	2	343	3.8	1	0	1	1	0	0	1	1	0.26	0.00	0.26	0.26	0.26	Matches
435	Azzedine Ounahi	ma MAR	MF	Girona	25	2000	24	20	1,760	19.6	5	2	7	4	1	1	6	0	0.26	0.10	0.36	0.20	0.31	Matches
436	Mikel Oyarzabal	es ESP	FW	Real Sociedad	28	1997	34	30	2,710	30.1	15	4	19	8	7	7	3	0	0.50	0.13	0.63	0.27	0.40	Matches
437	Jon Pacheco	es ESP	DF	Alavés	24	2001	22	20	1,735	19.3	0	0	0	0	0	0	5	1	0.00	0.00	0.00	0.00	0.00	Matches
438	Alex Padilla	es ESP	GK	Athletic Club	21	2003	1	1	90	1.0	0	0	0	0	0	0	0	1	0.00	0.00	0.00	0.00	0.00	Matches
439	César Palacios	es ESP	MF	Real Madrid	20	2004	5	0	86	1.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
440	Isaac Palazón Camacho	es ESP	MF,FW	Rayo Vallecano	30	1994	31	27	2,248	25.0	3	3	6	1	2	3	10	1	0.12	0.12	0.24	0.04	0.16	Matches
441	Diego Pampín	es ESP	DF	Levante	25	2000	8	6	534	5.9	0	0	0	0	0	0	3	0	0.00	0.00	0.00	0.00	0.00	Matches
442	Victor Parada	es ESP	DF	Alavés	23	2002	30	25	2,146	23.8	0	3	3	0	0	0	9	1	0.00	0.13	0.13	0.00	0.13	Matches
443	Aitor Paredes	es ESP	DF	Athletic Club	25	2000	19	18	1,630	18.1	2	0	2	2	0	0	4	0	0.11	0.00	0.11	0.11	0.11	Matches
444	Daniel Parejo	es ESP	MF	Villarreal	36	1989	32	16	1,392	15.5	1	0	1	0	1	1	3	0	0.06	0.00	0.06	0.00	0.00	Matches
445	Thomas Partey	gh GHA	MF	Villarreal	32	1993	25	8	934	10.4	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
446	Alfonso Pedraza	es ESP	DF	Villarreal	29	1996	27	19	1,689	18.8	1	3	4	1	0	0	8	0	0.05	0.16	0.21	0.05	0.21	Matches
447	Pedri	es ESP	MF	Barcelona	22	2002	29	23	2,104	23.4	2	9	11	2	0	0	2	1	0.09	0.38	0.47	0.09	0.47	Matches
448	Adrià Pedrosa	es ESP	DF,MF	Sevilla	27	1998	1	0	6	0.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
449	Adrià Pedrosa	es ESP	DF,MF	Elche	27	1998	26	8	1,090	12.1	1	1	2	1	0	0	4	0	0.08	0.08	0.17	0.08	0.17	Matches
450	Iñaki Peña	es ESP	GK	Elche	26	1999	16	16	1,440	16.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
Rk 	Player 	Nation 	Pos 	Squad 	Age 	Born 	MP 	Starts 	Min 	90s 	Gls 	Ast 	G+A 	G-PK 	PK 	PKatt 	CrdY 	CrdR 	Gls 	Ast 	G+A 	G-PK 	G+A-PK 	Matches
451	Nicolas Pépé	ci CIV	MF,FW	Villarreal	30	1995	36	26	2,393	26.6	8	8	16	7	1	1	4	0	0.30	0.30	0.60	0.26	0.56	Matches
452	Peque	es ESP	MF,FW	Sevilla	22	2002	26	12	982	10.9	2	1	3	2	0	0	7	0	0.18	0.09	0.27	0.18	0.27	Matches
453	Ángel Pérez	es ESP	MF,DF	Alavés	22	2002	16	14	1,288	14.3	1	3	4	1	0	0	4	0	0.07	0.21	0.28	0.07	0.28	Matches
454	Ayoze Pérez	es ESP	FW	Villarreal	32	1993	25	12	1,124	12.5	5	4	9	4	1	1	4	0	0.40	0.32	0.72	0.32	0.64	Matches
455	Francisco Perez	es ESP	MF,FW	Rayo Vallecano	22	2002	29	12	1,237	13.7	2	1	3	2	0	0	4	0	0.15	0.07	0.22	0.15	0.22	Matches
456	Joselu Pérez	es ESP	DF	Getafe	21	2004	2	0	22	0.2	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
457	Nacho Pérez	es ESP	DF	Levante	16	2008	3	1	148	1.6	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
458	Léo Pétrot	fr FRA	DF	Elche	28	1997	32	18	1,572	17.5	0	0	0	0	0	0	2	1	0.00	0.00	0.00	0.00	0.00	Matches
459	Charles Pickel	cd COD	MF	Espanyol	28	1997	24	4	707	7.9	1	0	1	1	0	0	4	2	0.13	0.00	0.13	0.13	0.13	Matches
460	Thiago Pinar	es ESP	MF	Real Madrid	17	2007	10	8	592	6.6	0	2	2	0	0	0	2	0	0.00	0.30	0.30	0.00	0.30	Matches
461	Lander Pinillos	es ESP	MF	Alavés	21	2003	1	0	2	0.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
462	Yeremi Pino	es ESP	MF	Villarreal	22	2002	2	2	159	1.8	0	1	1	0	0	0	0	0	0.00	0.57	0.57	0.00	0.57	Matches
463	Portu	es ESP	FW,MF	Girona	33	1992	10	4	474	5.3	0	0	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
464	Beñat Prados	es ESP	MF	Athletic Club	24	2001	2	1	85	0.9	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
465	Abdón Prats	es ESP	FW	Mallorca	32	1992	15	0	143	1.6	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
466	Javi Puado	es ESP	MF,FW	Espanyol	27	1998	10	8	674	7.5	2	0	2	1	1	2	2	0	0.27	0.00	0.27	0.13	0.13	Matches
467	Marc Pubill	es ESP	DF	Atlético Madrid	22	2003	19	15	1,381	15.3	1	1	2	1	0	0	2	0	0.07	0.07	0.13	0.07	0.13	Matches
468	Aleksa Puric	rs SRB	DF	Atlético Madrid	22	2003	2	0	46	0.5	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
469	Dani Raba	es ESP	FW	Valencia	29	1995	13	3	270	3.0	0	1	1	0	0	0	0	0	0.00	0.33	0.33	0.00	0.33	Matches
470	Ionuț Radu	ro ROU	GK	Celta Vigo	28	1997	38	38	3,420	38.0	0	0	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
471	Ugo Raghouber	fr FRA	MF	Levante	22	2003	16	8	706	7.8	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
472	Antonio Raillo	es ESP	DF	Mallorca	33	1991	24	23	2,070	23.0	0	1	1	0	0	0	4	0	0.00	0.04	0.04	0.00	0.04	Matches
473	Largie Ramazani	be BEL	MF,FW	Valencia	24	2001	27	11	1,234	13.7	6	1	7	3	3	3	4	0	0.44	0.07	0.51	0.22	0.29	Matches
474	Raphinha	br BRA	MF,FW	Barcelona	28	1996	22	18	1,380	15.3	13	3	16	10	3	3	5	0	0.85	0.20	1.04	0.65	0.85	Matches
475	Marcus Rashford	eng ENG	MF,FW	Barcelona	27	1997	32	18	1,763	19.6	8	7	15	8	0	0	3	0	0.41	0.36	0.77	0.41	0.77	Matches
Rk 	Player 	Nation 	Pos 	Squad 	Age 	Born 	MP 	Starts 	Min 	90s 	Gls 	Ast 	G+A 	G-PK 	PK 	PKatt 	CrdY 	CrdR 	Gls 	Ast 	G+A 	G-PK 	G+A-PK 	Matches
476	Giacomo Raspadori	it ITA	FW	Atlético Madrid	25	2000	12	1	236	2.6	0	1	1	0	0	0	1	0	0.00	0.38	0.38	0.00	0.38	Matches
477	Andrei Ratiu	ro ROU	DF	Rayo Vallecano	27	1998	35	31	2,807	31.2	0	4	4	0	0	0	9	0	0.00	0.13	0.13	0.00	0.13	Matches
478	Raúl	es ESP	FW	Osasuna	24	2000	36	6	1,041	11.6	7	1	8	7	0	0	2	1	0.61	0.09	0.69	0.61	0.69	Matches
479	Abde Rebbach	dz ALG	MF,DF	Alavés	26	1998	30	15	1,496	16.6	1	4	5	1	0	0	8	0	0.06	0.24	0.30	0.06	0.30	Matches
480	Federico Redondo	ar ARG	MF	Elche	22	2003	11	1	179	2.0	0	0	0	0	0	0	0	1	0.00	0.00	0.00	0.00	0.00	Matches
481	Alejandro Rego	es ESP	MF	Athletic Club	22	2003	29	11	1,279	14.2	1	1	2	1	0	0	6	0	0.07	0.07	0.14	0.07	0.14	Matches
482	Alberto Reina	es ESP	MF	Oviedo	27	1997	37	31	2,462	27.4	4	1	5	4	0	0	6	1	0.15	0.04	0.18	0.15	0.18	Matches
483	Vitor Reis	br BRA	DF	Girona	19	2006	36	35	3,138	34.9	1	1	2	1	0	0	9	1	0.03	0.03	0.06	0.03	0.06	Matches
484	Álex Remiro	es ESP	GK	Real Sociedad	30	1995	37	37	3,330	37.0	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
